격자순번,격자100m,위도,경도,실제값,예측값,시계열예측값
96,다마856991,36.1893748,127.3403989,0,0,0.00065559
97,다마856992,36.19027636,127.3403971,0,0,0.00065559
98,다마856993,36.19117792,127.3403953,0,0,0.00065559
99,다마856994,36.19207948,127.3403935,0,0,0.8437354
100,다마856995,36.19298104,127.3403916,0,0,0.00065559
101,다마856996,36.19388261,127.3403898,0,0,0.00065559
102,다마856997,36.19478417,127.340388,0,0,0.00065559
103,다마856998,36.19568573,127.3403861,0,0,0.8651764
104,다마856999,36.19658729,127.3403843,0,0,0.00065559
105,다마857993,36.1911794,127.3415075,0,0,0.00065559
106,다마857994,36.19208096,127.3415057,0,0,0.00065559
107,다마857995,36.19298252,127.3415039,0,0,0.00065559
108,다마857996,36.19388408,127.3415021,0,0,0.00065559
109,다마857997,36.19478565,127.3415002,0,0,0.00065559
110,다마857998,36.19568721,127.3414984,0,0,0.00065559
111,다마857999,36.19658877,127.3414966,0,0,0.35266083
112,다마858996,36.19388555,127.3426143,0,0,0.00065559
113,다마858997,36.19478711,127.3426125,0,0,0.00065559
114,다마858998,36.19568867,127.3426107,0,0,0.00065559
115,다마858999,36.19659024,127.3426089,0,0,0.00065559
116,다마859997,36.19478857,127.3437248,0,0,0.00065559
117,다마859998,36.19569013,127.343723,0,0,0.00065559
118,다마859999,36.19659169,127.3437212,0,0,0.00065559
119,다바802055,36.24697917,127.280179,0,0,0.8659248
120,다바802059,36.25058537,127.2801689,0,0,0.8651858
121,다바802060,36.25148692,127.2801664,0,0,0.865259
122,다바802061,36.25238847,127.2801638,0,0,0.86545366
123,다바802062,36.25329002,127.2801613,0,0,0.8652095
124,다바803051,36.243375,127.281302,0,0,0.00065559
125,다바803052,36.24427656,127.2812995,0,0,0.85913897
126,다바803053,36.24517811,127.281297,0,0,0.86472535
127,다바803054,36.24607966,127.2812945,0,0,0.86515456
128,다바803055,36.24698121,127.281292,0,0,0.8658629
129,다바803056,36.24788276,127.2812895,0,0,0.8655753
130,다바803057,36.24878431,127.281287,0,0,0.8656778
131,다바803058,36.24968586,127.2812845,0,0,0.86586845
132,다바803059,36.25058741,127.281282,0,0,0.8641275
133,다바803060,36.25148896,127.2812794,0,0,0.7320462
134,다바803061,36.25239051,127.2812769,0,0,0.69022703
135,다바803062,36.25329206,127.2812744,0,0,0.86570984
136,다바803063,36.25419361,127.2812719,0,0,0.86567366
137,다바804043,36.23616462,127.282435,1,0,0.8760144
138,다바804047,36.23977083,127.282425,0,0,0.86527115
139,다바804048,36.24067238,127.2824225,0,0,0.8649352
140,다바804049,36.24157393,127.28242,0,0,0.00065559
141,다바804050,36.24247548,127.2824175,0,0,0.85809773
142,다바804051,36.24337703,127.282415,0,0,0.86608195
143,다바804052,36.24427858,127.2824125,0,0,0.865372
144,다바804053,36.24518014,127.28241,0,0,0.000698627
145,다바804054,36.24608169,127.2824075,0,0,0.8529749
146,다바804055,36.24698324,127.282405,0,0,0.00065559
147,다바804056,36.24788479,127.2824025,0,0,0.86572057
148,다바804057,36.24878634,127.2824,0,0,0.86481553
149,다바804058,36.24968789,127.2823975,0,0,0.00065559
150,다바804059,36.25058944,127.282395,0,0,0.00065559
151,다바804060,36.25149099,127.2823925,0,0,0.67047125
152,다바804061,36.25239254,127.28239,0,0,0.00065559
153,다바804062,36.25329409,127.2823875,0,0,0.8646332
154,다바804063,36.25419564,127.282385,0,0,0.00065559
155,다바804064,36.25509719,127.2823825,0,0,0.86579734
156,다바804066,36.25690029,127.2823775,0,0,0.00067988
157,다바804067,36.25780184,127.282375,0,0,0.8652928
158,다바805042,36.23526509,127.2835503,0,0,0.8652987
159,다바805043,36.23616664,127.2835479,0,0,0.8760233
160,다바805044,36.23706819,127.2835454,0,0,0.8760284
161,다바805045,36.23796974,127.2835429,0,0,0.8657204
162,다바805046,36.23887129,127.2835404,0,0,0.8657201
163,다바805047,36.23977285,127.2835379,0,0,0.86588097
164,다바805048,36.2406744,127.2835354,0,0,0.8657681
165,다바805049,36.24157595,127.2835329,0,0,0.8658423
166,다바805050,36.2424775,127.2835305,0,0,0.8660562
167,다바805051,36.24337905,127.283528,0,0,0.86590964
168,다바805052,36.2442806,127.2835255,0,0,0.86284125
169,다바805053,36.24518215,127.283523,0,0,0.8534034
170,다바805054,36.24608371,127.2835205,0,0,0.00065559
171,다바805055,36.24698526,127.283518,0,0,0.847355
172,다바805056,36.24788681,127.2835155,0,0,0.8656873
173,다바805057,36.24878836,127.283513,0,0,0.00065559
174,다바805058,36.24968991,127.2835106,0,0,0.8660169
175,다바805059,36.25059146,127.2835081,0,0,0.00065559
176,다바805060,36.25149301,127.2835056,0,0,0.8585637
177,다바805061,36.25239456,127.2835031,0,0,0.84708303
178,다바805062,36.25329611,127.2835006,0,0,0.00065559
179,다바805063,36.25419766,127.2834981,0,0,0.6737396
180,다바805064,36.25509921,127.2834956,0,0,0.86509776
181,다바805065,36.25600076,127.2834932,0,0,0.00065559
182,다바805066,36.25690231,127.2834907,0,0,0.86446595
183,다바805067,36.25780386,127.2834882,0,0,0.86546737
184,다바805068,36.2587054,127.2834857,0,0,0.86566204
185,다바806042,36.23526709,127.2846632,0,0,0.8652594
186,다바806043,36.23616865,127.2846607,0,0,0.865273
187,다바806044,36.2370702,127.2846582,0,0,0.8650085
188,다바806045,36.23797175,127.2846558,0,0,0.86559147
189,다바806046,36.2388733,127.2846533,0,0,0.8657063
190,다바806047,36.23977485,127.2846508,0,0,0.86542404
191,다바806048,36.24067641,127.2846483,0,0,0.8647135
192,다바806049,36.24157796,127.2846459,0,0,0.87602156
193,다바806050,36.24247951,127.2846434,0,0,0.8655868
194,다바806051,36.24338106,127.2846409,0,0,0.86421275
195,다바806052,36.24428261,127.2846385,0,0,0.864304
196,다바806053,36.24518416,127.284636,0,0,0.85011387
197,다바806054,36.24608571,127.2846335,0,0,0.00065559
198,다바806055,36.24698727,127.284631,0,0,0.00065559
199,다바806056,36.24788882,127.2846286,0,0,0.00065559
200,다바806057,36.24879037,127.2846261,0,0,0.00065559
201,다바806058,36.24969192,127.2846236,0,0,0.00065559
202,다바806059,36.25059347,127.2846211,0,0,0.00065559
203,다바806060,36.25149502,127.2846187,0,0,0.00065559
204,다바806061,36.25239657,127.2846162,0,0,0.00065559
205,다바806062,36.25329812,127.2846137,0,0,0.00065559
206,다바806063,36.25419967,127.2846112,0,0,0.00065559
207,다바806064,36.25510122,127.2846088,0,0,0.00065559
208,다바806065,36.25600277,127.2846063,0,0,0.84356034
